C:\Users\alliy\Documents\beta_simulator_windows\IMG\center_2022_12_04_15_43_54_687.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\left_2022_12_04_15_43_54_687.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\right_2022_12_04_15_43_54_687.jpg,0,0,0,4.924166E-06
C:\Users\alliy\Documents\beta_simulator_windows\IMG\center_2022_12_04_15_43_54_764.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\left_2022_12_04_15_43_54_764.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\right_2022_12_04_15_43_54_764.jpg,0,0,0,2.965852E-06
C:\Users\alliy\Documents\beta_simulator_windows\IMG\center_2022_12_04_15_43_54_853.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\left_2022_12_04_15_43_54_853.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\right_2022_12_04_15_43_54_853.jpg,0,0,0,3.065519E-06
C:\Users\alliy\Documents\beta_simulator_windows\IMG\center_2022_12_04_15_43_54_921.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\left_2022_12_04_15_43_54_921.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\right_2022_12_04_15_43_54_921.jpg,0,0,0,7.556761E-07
C:\Users\alliy\Documents\beta_simulator_windows\IMG\center_2022_12_04_15_43_55_020.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\left_2022_12_04_15_43_55_020.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\right_2022_12_04_15_43_55_020.jpg,0,0,0,8.958513E-07
C:\Users\alliy\Documents\beta_simulator_windows\IMG\center_2022_12_04_15_43_55_110.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\left_2022_12_04_15_43_55_110.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\right_2022_12_04_15_43_55_110.jpg,0,0,0,3.760756E-06
C:\Users\alliy\Documents\beta_simulator_windows\IMG\center_2022_12_04_15_43_55_187.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\left_2022_12_04_15_43_55_187.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\right_2022_12_04_15_43_55_187.jpg,0,0,0,1.245885E-06
C:\Users\alliy\Documents\beta_simulator_windows\IMG\center_2022_12_04_15_43_55_267.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\left_2022_12_04_15_43_55_267.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\right_2022_12_04_15_43_55_267.jpg,0,0,0,4.225084E-06
C:\Users\alliy\Documents\beta_simulator_windows\IMG\center_2022_12_04_15_43_55_382.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\left_2022_12_04_15_43_55_382.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\right_2022_12_04_15_43_55_382.jpg,0,0,0,4.490857E-06
C:\Users\alliy\Documents\beta_simulator_windows\IMG\center_2022_12_04_15_43_55_476.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\left_2022_12_04_15_43_55_476.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\right_2022_12_04_15_43_55_476.jpg,0,0,0,1.956667E-06
C:\Users\alliy\Documents\beta_simulator_windows\IMG\center_2022_12_04_15_43_55_577.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\left_2022_12_04_15_43_55_577.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\right_2022_12_04_15_43_55_577.jpg,0,0,0,1.957801E-06
C:\Users\alliy\Documents\beta_simulator_windows\IMG\center_2022_12_04_15_43_55_662.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\left_2022_12_04_15_43_55_662.jpg,C:\Users\alliy\Documents\beta_simulator_windows\IMG\right_2022_12_04_15_43_55_662.jpg,0,0,0,4.656986E-06
